Date,Open,High,Low,Close,Adj Close,Volume
2018-11-26,7.200000,7.240000,7.160000,7.240000,6.973966,1029900
2018-11-27,7.230000,7.260000,7.190000,7.230000,6.964334,1525000
2018-11-28,7.260000,7.270000,7.210000,7.260000,6.993231,1092200
2018-11-29,7.280000,7.330000,7.240000,7.280000,7.012496,2127400
2018-11-30,7.320000,7.340000,7.280000,7.320000,7.051026,6368000
2018-12-03,7.370000,7.410000,7.340000,7.360000,7.089557,2845400
2018-12-04,7.390000,7.400000,7.270000,7.300000,7.031762,1621800
2018-12-05,7.200000,7.300000,7.190000,7.300000,7.031762,1620100
2018-12-06,7.270000,7.270000,7.150000,7.180000,6.916171,1748300
2018-12-07,7.280000,7.350000,7.110000,7.150000,6.887273,3320700
2018-12-10,7.100000,7.110000,7.020000,7.030000,6.771683,2500600
2018-12-11,7.040000,7.080000,7.030000,7.080000,6.819845,1253100
2018-12-12,7.120000,7.170000,7.080000,7.150000,6.887273,1949500
2018-12-13,7.190000,7.240000,7.160000,7.190000,6.925803,2187200
2018-12-14,7.140000,7.180000,7.100000,7.160000,6.896905,1849800
2018-12-17,7.200000,7.260000,7.160000,7.240000,6.973966,2245500
2018-12-18,7.210000,7.250000,7.100000,7.100000,6.839110,2546200
2018-12-19,7.120000,7.160000,7.070000,7.130000,6.868008,1221400
2018-12-20,7.080000,7.150000,7.070000,7.090000,6.829478,1189100
2018-12-21,7.070000,7.180000,7.070000,7.150000,6.887273,2684300
2018-12-24,7.100000,7.150000,7.090000,7.130000,6.868008,660600
2018-12-26,7.000000,7.080000,7.000000,7.060000,6.800580,1132100
2018-12-27,7.130000,7.190000,7.110000,7.110000,6.848743,1388200
2018-12-28,7.110000,7.180000,7.110000,7.120000,6.858375,965300
2018-12-31,7.170000,7.170000,7.120000,7.150000,6.887273,497600
2019-01-01,7.150000,7.150000,7.150000,7.150000,6.887273,0
2019-01-02,7.200000,7.230000,7.130000,7.170000,6.906538,2110800
2019-01-03,7.160000,7.190000,7.130000,7.150000,6.887273,1791300
2019-01-04,7.150000,7.210000,7.120000,7.190000,6.925803,1541500
2019-01-07,7.250000,7.270000,7.210000,7.260000,6.993231,1777000
2019-01-08,7.280000,7.280000,7.250000,7.270000,7.002864,1386700
2019-01-09,7.290000,7.330000,7.280000,7.330000,7.060659,2053400
2019-01-10,7.340000,7.350000,7.290000,7.330000,7.060659,1621800
2019-01-11,7.350000,7.350000,7.260000,7.290000,7.022129,1297900
2019-01-14,7.320000,7.330000,7.250000,7.260000,6.993231,1114600
2019-01-15,7.270000,7.320000,7.270000,7.300000,7.031762,1034900
2019-01-16,7.320000,7.420000,7.290000,7.420000,7.147352,3466200
2019-01-17,7.420000,7.450000,7.360000,7.450000,7.176250,4418900
2019-01-18,7.460000,7.460000,7.410000,7.420000,7.147352,1330500
2019-01-21,7.440000,7.480000,7.390000,7.440000,7.166617,2108400
2019-01-22,7.450000,7.470000,7.400000,7.430000,7.156984,1869200
2019-01-23,7.420000,7.460000,7.390000,7.410000,7.137719,2134800
2019-01-24,7.500000,7.540000,7.440000,7.500000,7.224412,3124300
2019-01-25,7.520000,7.580000,7.510000,7.570000,7.291841,3053000
2019-01-28,7.580000,7.610000,7.570000,7.600000,7.320738,1827000
2019-01-29,7.600000,7.620000,7.540000,7.620000,7.340003,2530500
2019-01-30,7.640000,7.650000,7.610000,7.650000,7.368900,2897400
2019-01-31,7.610000,7.640000,7.550000,7.640000,7.432132,4412800
2019-02-01,7.610000,7.630000,7.530000,7.590000,7.383493,2046700
2019-02-04,7.570000,7.590000,7.510000,7.550000,7.344581,751500
2019-02-05,7.550000,7.550000,7.550000,7.550000,7.344581,0
2019-02-07,7.640000,7.650000,7.610000,7.630000,7.422404,1852100
2019-02-08,7.530000,7.630000,7.530000,7.610000,7.402949,1882886
2019-02-11,7.560000,7.600000,7.510000,7.580000,7.373765,1258300
2019-02-12,7.580000,7.600000,7.560000,7.580000,7.373765,3767600
2019-02-13,7.620000,7.700000,7.610000,7.680000,7.471044,2945500
2019-02-14,7.680000,7.720000,7.660000,7.720000,7.509956,2574200
2019-02-15,7.750000,7.790000,7.710000,7.790000,7.578051,3982900
2019-02-18,7.790000,7.860000,7.760000,7.790000,7.578051,1563100
2019-02-19,7.800000,7.850000,7.760000,7.770000,7.558595,1504900
2019-02-20,7.850000,7.860000,7.820000,7.860000,7.646147,2516000
2019-02-21,7.850000,7.860000,7.810000,7.820000,7.607235,1813900
2019-02-22,7.860000,7.900000,7.820000,7.870000,7.655875,3356700
2019-02-25,7.900000,7.900000,7.800000,7.900000,7.685058,1681300
2019-02-26,7.900000,7.900000,7.800000,7.820000,7.607235,1961800
2019-02-27,7.850000,7.900000,7.820000,7.850000,7.636419,2951700
2019-02-28,7.860000,7.860000,7.770000,7.840000,7.626691,3717800
2019-03-01,7.850000,7.900000,7.840000,7.890000,7.675330,3097100
2019-03-04,7.900000,8.000000,7.880000,8.000000,7.782338,4313600
2019-03-05,7.990000,8.050000,7.950000,8.000000,7.782338,3214700
2019-03-06,8.030000,8.040000,7.970000,8.020000,7.801794,1930600
2019-03-07,8.020000,8.020000,7.880000,7.920000,7.704514,1934700
2019-03-08,7.850000,7.900000,7.750000,7.760000,7.548867,3271500
2019-03-11,7.720000,7.740000,7.450000,7.470000,7.266758,8513300
2019-03-12,7.570000,7.570000,7.330000,7.350000,7.150023,10307900
2019-03-13,7.350000,7.390000,7.220000,7.260000,7.062471,7241600
2019-03-14,7.300000,7.340000,7.280000,7.310000,7.111111,4849500
2019-03-15,7.310000,7.330000,7.280000,7.330000,7.130567,10424200
2019-03-18,7.360000,7.380000,7.280000,7.310000,7.111111,2042500
2019-03-19,7.330000,7.350000,7.290000,7.350000,7.150023,3017000
2019-03-20,7.340000,7.350000,7.290000,7.330000,7.130567,3268300
2019-03-21,7.350000,7.520000,7.340000,7.410000,7.208390,6132900
2019-03-22,7.380000,7.400000,7.300000,7.320000,7.120839,3252700
2019-03-25,7.290000,7.310000,7.230000,7.290000,7.091655,3962100
2019-03-26,7.300000,7.340000,7.230000,7.260000,7.062471,2306300
2019-03-27,7.260000,7.330000,7.250000,7.290000,7.091655,2431700
2019-03-28,7.350000,7.370000,7.290000,7.300000,7.101383,2846700
2019-03-29,7.370000,7.380000,7.280000,7.310000,7.111111,4342400
2019-04-01,7.350000,7.360000,7.300000,7.320000,7.120839,2347700
2019-04-02,7.360000,7.360000,7.310000,7.310000,7.111111,2967800
2019-04-03,7.340000,7.430000,7.320000,7.400000,7.198662,2787200
2019-04-04,7.440000,7.450000,7.380000,7.420000,7.218118,2534000
2019-04-05,7.440000,7.470000,7.400000,7.440000,7.237574,1620800
2019-04-08,7.470000,7.470000,7.350000,7.390000,7.188934,1312200
2019-04-09,7.440000,7.450000,7.380000,7.440000,7.237574,2340500
2019-04-10,7.390000,7.400000,7.350000,7.380000,7.179206,3049000
2019-04-11,7.400000,7.410000,7.360000,7.370000,7.169478,1998400
2019-04-12,7.390000,7.400000,7.360000,7.390000,7.188934,2161900
2019-04-15,7.420000,7.420000,7.300000,7.300000,7.101383,2648400
2019-04-16,7.300000,7.320000,7.250000,7.250000,7.052743,4547700
2019-04-17,7.250000,7.320000,7.250000,7.260000,7.062471,2600600
2019-04-18,7.310000,7.340000,7.280000,7.330000,7.130567,2372300
2019-04-22,7.330000,7.330000,7.260000,7.280000,7.081927,1867200
2019-04-23,7.270000,7.300000,7.250000,7.250000,7.052743,3156700
2019-04-24,7.250000,7.280000,7.240000,7.280000,7.081927,3109600
2019-04-25,7.260000,7.290000,7.250000,7.260000,7.062471,1671100
2019-04-26,7.310000,7.400000,7.290000,7.400000,7.198662,4560500
2019-04-29,7.410000,7.410000,7.370000,7.380000,7.179206,2327500
2019-04-30,7.390000,7.400000,7.340000,7.380000,7.179206,3315900
2019-05-02,7.370000,7.420000,7.360000,7.420000,7.218118,2845000
